FLO-ID,VAT Number,Legal Status,Company Name
1341,n/a,Trading Limited Incorporation,"Cooperative Coffees Inc."
2178,n/a,Trading Limited Incorporation,"Importadores y Distribuidores de la Materia Para America Latina"
3341,n/a,Trading Limited Incorporation,"Importadores de la Café Justo de la Paz"
7855,n/a,Cooperative,"Union de Cooperativas Tosepan Titataniske"
2215,n/a,Cooperative,"Union de Productores Maya Vinic"
3992,n/a,Cooperative,"Comité Campesino del Altiplano Campesino del Altiplano (CCDA) Café Justifia"
