ProdID,Description,"Production Geographic ",,Country
AWFO-PB,Arabica Washed Fairtrade Organic,"Puebla - 1,800 above sea level ",,Mexico
AWFO-CP,Arabica Washed Fairtrade Organic,Chiapas - 800 above sea level,,Mexico
