InvID,SalesDate,CustID,PO-No,Dist-No,ProdID,Qty/bags,No of Bags,QtyTotal,P/kg,FTPU/kg,PTot,FTPUTot,TotVal
012/INV/MA/2013,15/01/2013,RCB-OM,006/PO/RC/2013,002/Dist/I/G/2013,AWFO-PB,10/kg,50.0,500 kg,11.1,0.44,5550.0,220.0,5770.0
025/INV/MA/2013,10/03/2013,RCB-OM,013/PO/RC/2013,002/Dist/III/G/2013,AWFO-CP,10/kg,60.0,600 kg,6.05,0.22,3630.0,132.0,3762.0
